gene	noncoding_mutation_rate
A1BG	3.04E-06
A1CF	3.31E-06
A2BP1	5.75E-06
A2M	4.20E-06
A2ML1	5.00E-06
A4GALT	2.24E-06
A4GNT	3.91E-06
AAAS	2.27E-06
AACS	3.52E-06
AADAC	3.10E-06
AADACL2	3.16E-06
AADACL3	4.29E-06
AADACL4	4.29E-06
AADAT	4.09E-06
AAGAB	1.95E-06
AAK1	1.86E-06
AAMP	2.12E-06
AANAT	2.30E-06
AARS	3.42E-06
AARS2	2.63E-06
AARSD1	2.17E-06
AASDH	2.75E-06
AASDHPPT	4.58E-06
AASS	2.88E-06
AATF	2.48E-06
ABAT	3.28E-06
ABCA1	2.68E-06
ABCA10	2.86E-06
ABCA12	3.25E-06
ABCA13	4.53E-06
ABCA2	3.76E-06
ABCA3	2.01E-06
ABCA4	1.65E-06
ABCA5	2.92E-06
ABCA6	2.81E-06
ABCA7	3.22E-06
ABCA8	2.73E-06
ABCA9	2.77E-06
ABCB1	3.94E-06
ABCB10	2.77E-06
ABCB11	2.33E-06
ABCB4	3.99E-06
ABCB5	4.09E-06
ABCB6	2.18E-06
ABCB7	4.02E-06
ABCB8	2.71E-06
ABCB9	2.33E-06
ABCC1	3.33E-06
ABCC10	2.14E-06
ABCC11	3.13E-06
ABCC12	2.97E-06
ABCC2	2.24E-06
ABCC3	2.00E-06
ABCC4	2.77E-06
ABCC5	2.79E-06
ABCC6	3.50E-06
ABCC8	2.47E-06
ABCC9	4.00E-06
ABCD1	2.68E-06
ABCD2	3.82E-06
ABCD3	1.62E-06
ABCD4	2.11E-06
ABCE1	3.12E-06
ABCF1	2.58E-06
ABCF2	2.48E-06
ABCF3	2.83E-06
ABCG1	2.44E-06
ABCG2	2.43E-06
ABCG4	2.22E-06
ABCG5	2.21E-06
ABCG8	2.23E-06
ABHD1	1.98E-06
ABHD10	2.84E-06
ABHD11	5.17E-06
ABHD12	4.20E-06
ABHD12B	2.13E-06
ABHD13	5.49E-06
ABHD14A	1.72E-06
ABHD14B	1.72E-06
ABHD15	2.13E-06
ABHD2	2.76E-06
ABHD3	3.00E-06
ABHD4	2.45E-06
ABHD5	2.28E-06
ABHD6	2.07E-06
ABHD8	2.72E-06
ABI1	3.55E-06
ABI2	1.91E-06
ABI3	2.84E-06
ABI3BP	3.07E-06
ABL1	2.43E-06
ABL2	3.34E-06
ABLIM1	1.96E-06
ABLIM2	2.36E-06
ABLIM3	1.76E-06
ABO	2.50E-06
ABP1	3.15E-06
ABR	3.12E-06
ABRA	4.11E-06
ABT1	4.77E-06
ABTB1	2.76E-06
ABTB2	2.31E-06
ACAA1	1.95E-06
ACAA2	2.53E-06
ACACA	2.58E-06
ACACB	2.18E-06
ACAD10	2.35E-06
ACAD11	3.43E-06
ACAD8	4.38E-06
ACAD9	2.48E-06
ACADL	3.80E-06
ACADM	5.73E-06
ACADS	2.64E-06
ACADSB	2.89E-06
ACADVL	2.27E-06
ACAN	3.15E-06
ACAP1	2.25E-06
ACAP2	5.72E-06
ACAP3	3.40E-06
ACAT1	2.59E-06
ACAT2	3.30E-06
ACBD3	2.28E-06
ACBD4	2.59E-06
ACBD5	3.10E-06
ACBD6	2.63E-06
ACBD7	3.41E-06
ACCN1	4.23E-06
ACCN2	2.16E-06
ACCN3	2.71E-06
ACCN4	2.46E-06
ACCN5	4.78E-06
ACCS	2.70E-06
ACCSL	2.74E-06
ACD	1.59E-06
ACE	2.12E-06
ACE2	2.36E-06
ACER1	2.78E-06
ACER2	2.86E-06
ACER3	2.09E-06
ACHE	3.13E-06
ACIN1	2.08E-06
ACLY	2.48E-06
ACMSD	3.11E-06
ACN9	5.58E-06
ACO1	3.73E-06
ACO2	2.31E-06
ACOT11	1.85E-06
ACOT12	2.46E-06
ACOT13	2.73E-06
ACOT2	2.15E-06
ACOT4	2.15E-06
ACOT6	2.15E-06
ACOT7	2.03E-06
ACOT8	2.70E-06
ACOT9	2.30E-06
ACOX1	2.13E-06
ACOX2	2.30E-06
ACOX3	2.59E-06
ACP1	5.04E-06
ACP2	1.94E-06
ACP5	2.49E-06
ACPL2	2.88E-06
ACPP	3.58E-06
ACPT	3.48E-06
ACRBP	2.47E-06
ACRC	2.85E-06
ACRV1	2.67E-06
ACSBG1	2.57E-06
ACSBG2	2.75E-06
ACSF2	1.91E-06
ACSL1	1.85E-06
ACSL3	2.70E-06
ACSL4	2.86E-06
ACSL5	2.34E-06
ACSL6	1.88E-06
ACSM1	3.24E-06
ACSM2A	3.37E-06
ACSM2B	3.32E-06
ACSM3	3.19E-06
ACSM4	3.89E-06
ACSM5	3.37E-06
ACSS1	3.56E-06
ACSS2	2.21E-06
ACSS3	4.89E-06
ACTA1	2.78E-06
ACTA2	1.88E-06
ACTB	3.00E-06
ACTBL2	2.49E-06
ACTC1	2.87E-06
ACTG2	2.15E-06
ACTL6A	4.65E-06
ACTL6B	3.11E-06
ACTL7A	2.24E-06
ACTL7B	2.24E-06
ACTL8	2.62E-06
ACTL9	3.72E-06
ACTN1	1.92E-06
ACTN2	4.51E-06
ACTN3	1.94E-06
ACTN4	2.38E-06
ACTR10	2.99E-06
ACTR1A	1.70E-06
ACTR1B	2.99E-06
ACTR2	2.25E-06
ACTR3	5.02E-06
ACTR3B	5.53E-06
ACTR5	3.15E-06
ACTR6	4.09E-06
ACTR8	2.61E-06
ACTRT1	5.86E-06
ACTRT2	3.66E-06
ACVR1	2.42E-06
ACVR1B	2.17E-06
ACVR1C	2.55E-06
ACVR2A	2.80E-06
ACVR2B	2.13E-06
ACVRL1	2.17E-06
ACY1	1.72E-06
ACY3	3.88E-06
ACYP1	1.94E-06
ACYP2	1.95E-06
ADA	2.40E-06
ADAD1	3.16E-06
ADAD2	2.26E-06
ADAL	2.14E-06
ADAM10	2.33E-06
ADAM11	2.30E-06
ADAM12	3.74E-06
ADAM15	2.39E-06
ADAM17	1.97E-06
ADAM18	3.56E-06
ADAM19	2.84E-06
ADAM2	3.72E-06
ADAM20	2.81E-06
ADAM21	2.82E-06
ADAM22	4.59E-06
ADAM23	3.35E-06
ADAM28	3.67E-06
ADAM29	4.80E-06
ADAM30	3.38E-06
ADAM32	3.04E-06
ADAM33	2.28E-06
ADAM7	3.67E-06
ADAM8	4.39E-06
ADAM9	2.87E-06
ADAMDEC1	3.68E-06
ADAMTS1	4.44E-06
ADAMTS10	3.43E-06
ADAMTS12	5.37E-06
ADAMTS13	2.46E-06
ADAMTS14	1.85E-06
ADAMTS15	2.75E-06
ADAMTS16	7.21E-06
ADAMTS18	5.16E-06
ADAMTS19	3.94E-06
ADAMTS2	3.40E-06
ADAMTS20	4.60E-06
ADAMTS3	4.16E-06
ADAMTS4	3.35E-06
ADAMTS5	4.49E-06
ADAMTS6	2.55E-06
ADAMTS7	2.76E-06
ADAMTS8	2.63E-06
ADAMTS9	2.53E-06
ADAMTSL1	2.88E-06
ADAMTSL2	2.44E-06
ADAMTSL3	3.88E-06
ADAMTSL4	2.75E-06
ADAMTSL5	2.37E-06
ADAP1	3.35E-06
ADAP2	2.24E-06
ADAR	2.63E-06
ADARB1	3.12E-06
ADARB2	4.74E-06
ADAT1	3.33E-06
ADAT2	2.19E-06
ADC	1.79E-06
ADCK1	2.85E-06
ADCK2	2.93E-06
ADCK4	2.52E-06
ADCK5	3.53E-06
ADCY1	3.65E-06
ADCY10	2.83E-06
ADCY2	6.40E-06
ADCY3	1.79E-06
ADCY4	2.22E-06
ADCY5	2.47E-06
ADCY6	2.48E-06
ADCY7	2.37E-06
ADCY8	6.70E-06
ADCY9	1.71E-06
ADCYAP1	4.76E-06
ADCYAP1R1	3.73E-06
ADD1	1.87E-06
ADD2	2.30E-06
ADD3	3.04E-06
ADH1A	2.32E-06
ADH1B	2.34E-06
ADH1C	2.34E-06
ADH4	2.27E-06
ADH5	2.25E-06
ADH6	2.30E-06
ADH7	2.40E-06
ADHFE1	3.31E-06
ADI1	4.13E-06
ADIG	2.90E-06
ADIPOQ	2.76E-06
ADIPOR1	2.26E-06
ADIPOR2	2.92E-06
ADK	1.83E-06
ADM	2.16E-06
ADNP	2.46E-06
ADO	2.99E-06
ADORA1	2.33E-06
ADORA2A	3.10E-06
ADORA2B	3.05E-06
ADORA3	2.40E-06
ADPGK	2.31E-06
ADPRH	3.10E-06
ADPRHL1	8.66E-06
ADPRHL2	2.01E-06
ADRA1A	2.54E-06
ADRA1B	2.67E-06
ADRA1D	2.77E-06
ADRA2A	2.86E-06
ADRA2B	3.25E-06
ADRA2C	4.42E-06
ADRB1	1.77E-06
ADRB2	2.10E-06
ADRB3	2.36E-06
ADRBK1	2.96E-06
ADRBK2	3.20E-06
ADRM1	3.43E-06
ADSL	2.30E-06
ADSS	3.60E-06
ADSSL1	2.70E-06
AEBP1	2.79E-06
