ACAtoAAA	ACCtoAAC	ACGtoAAG	ACTtoAAT	CCAtoCAA	CCCtoCAC	CCGtoCAG	CCTtoCAT	GCAtoGAA	GCCtoGAC	GCGtoGAG	GCTtoGAT	TCAtoTAA	TCCtoTAC	TCGtoTAG	TCTtoTAT	AAAtoACA	AACtoACC	AAGtoACG	AATtoACT	CAAtoCCA	CACtoCCC	CAGtoCCG	CATtoCCT	GAAtoGCA	GACtoGCC	GAGtoGCG	GATtoGCT	TAAtoTCA	TACtoTCC	TAGtoTCG	TATtoTCT	AAAtoAGA	AACtoAGC	AAGtoAGG	AATtoAGT	CAAtoCGA	CACtoCGC	CAGtoCGG	CATtoCGT	GAAtoGGA	GACtoGGC	GAGtoGGG	GATtoGGT	TAAtoTGA	TACtoTGC	TAGtoTGG	TATtoTGT	ACAtoAGA	ACCtoAGC	ACGtoAGG	ACTtoAGT	CCAtoCGA	CCCtoCGC	CCGtoCGG	CCTtoCGT	GCAtoGGA	GCCtoGGC	GCGtoGGG	GCTtoGGT	TCAtoTGA	TCCtoTGC	TCGtoTGG	TCTtoTGT	AAAtoATA	AACtoATC	AAGtoATG	AATtoATT	CAAtoCTA	CACtoCTC	CAGtoCTG	CATtoCTT	GAAtoGTA	GACtoGTC	GAGtoGTG	GATtoGTT	TAAtoTTA	TACtoTTC	TAGtoTTG	TATtoTTT	ACAtoATA	ACCtoATC	ACGtoATG	ACTtoATT	CCAtoCTA	CCCtoCTC	CCGtoCTG	CCTtoCTT	GCAtoGTA	GCCtoGTC	GCGtoGTG	GCTtoGTT	TCAtoTTA	TCCtoTTC	TCGtoTTG	TCTtoTTT
1	0	0	0	3	0	0	0	0	0	0	0	2	0	0	0	0	5	0	0	1	9	0	0	0	2	0	0	0	2	0	0	0	0	0	0	0	0	1	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2	3	6	0	1	1	1	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	1	0	1	0	1	2	0	0	1	2	2	0	0	3
0	3	0	1	3	1	0	0	0	1	0	0	1	0	0	0	0	4	0	0	0	5	0	0	0	1	0	0	0	2	0	0	0	0	0	1	0	0	1	0	3	2	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	6	2	6	3	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	2	0	0	0	1	1	1	1	1	1	1	3	1	1
0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	1	1	0	0	0	1	0	0	0	2	0	0	0	0	2	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	1	2	5	6	35	2	0	3	0	0	0	0	0	0	0	2	0	1	0	0	2
0	0	0	0	0	0	2	0	1	0	0	0	0	0	0	1	0	0	1	0	0	5	0	0	0	0	1	0	0	0	0	0	1	1	0	0	0	1	0	1	1	0	2	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	1	1	0	1	0	0	0	1	0	6	7	4	31	0	1	2	1	3	0	4	1	0	3	0	3	0	2	0	1
3	0	1	0	5	7	2	6	3	2	1	0	2	7	1	7	1	1	0	0	0	3	0	0	0	1	0	1	0	1	0	0	2	1	4	2	1	1	7	2	0	0	2	2	1	1	2	1	0	1	4	1	2	3	4	2	0	3	1	2	0	1	1	0	1	2	2	0	0	2	7	0	0	0	2	1	1	1	0	0	10	2	9	2	4	5	14	6	11	20	9	11	2	4	3	3
0	0	0	0	1	2	0	2	1	2	1	3	0	1	0	0	0	1	0	0	0	2	0	0	0	1	1	0	0	0	0	0	2	0	1	0	1	0	3	2	2	1	1	0	1	1	0	0	0	0	0	2	0	1	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	1	0	1	0	0	1	1	5	2	1	2	5	1	4	5	3	3	2	2	1	1
1	7	0	6	4	6	4	9	2	5	2	7	3	4	3	6	0	1	0	1	2	6	3	1	1	0	2	2	2	2	1	0	11	5	14	2	15	14	26	9	6	5	15	7	2	4	3	2	3	5	2	4	3	0	1	3	1	3	1	3	3	5	0	6	6	6	16	7	4	1	12	6	1	2	11	2	1	1	2	1	18	20	9	8	20	24	13	17	45	45	15	31	20	22	14	20
3	2	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	1	0	0	0	1	0	0	0	0	1	0	0	0	0	1	0	0	2	0	0	0	0	0	0	0	1	0	0	0	0	0	0	4	1	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	2	0	0	0	0	0	0	0	0	1	0	1	0	2
1	0	0	0	0	0	0	2	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	1	0	0	1	0	1	1	1	0	1	0	0	1
1	0	0	0	1	0	0	2	1	0	0	0	0	1	0	4	0	0	3	1	3	1	0	1	1	1	0	3	1	2	0	0	3	0	0	1	0	1	1	2	1	1	0	0	0	1	1	0	1	1	0	0	0	2	0	0	1	1	0	1	2	0	0	3	1	0	0	0	0	0	1	0	0	0	0	1	2	1	0	2	1	4	2	0	2	2	1	2	0	3	2	2	0	1	1	2
