# The following table is formatted as tab separated values. 
#GeneName	GeneId	TranscriptId	BioType	variants_impact_HIGH	variants_impact_LOW	variants_impact_MODERATE	variants_impact_MODIFIER	variants_effect_3_prime_UTR_variant	variants_effect_5_prime_UTR_premature_start_codon_gain_variant	variants_effect_5_prime_UTR_variant	variants_effect_downstream_gene_variant	variants_effect_intron_variant	variants_effect_missense_variant	variants_effect_non_coding_transcript_exon_variant	variants_effect_splice_acceptor_variant	variants_effect_splice_donor_variant	variants_effect_splice_region_variant	variants_effect_start_lost	variants_effect_stop_gained	variants_effect_stop_lost	variants_effect_synonymous_variant	variants_effect_upstream_gene_variant
AC002044.4	ENSG00000272330	ENST00000606707	sense_intronic	0	0	0	31	0	0	0	13	0	0	0	0	0	0	0	0	0	0	18
AC002553.1	ENSG00000227782	ENST00000442828	protein_coding	0	0	1	85	0	0	0	46	4	1	0	0	0	1	0	0	0	0	35
AC002553.4	ENSG00000233979	ENST00000453217	processed_pseudogene	0	0	0	74	0	0	0	31	0	0	3	0	0	0	0	0	0	0	40
AC004943.1	ENSG00000265573	ENST00000584072	miRNA	0	0	0	41	0	0	0	20	0	0	0	0	0	0	0	0	0	0	21
AC008937.2	ENSG00000237705	ENST00000415589	antisense	0	1	0	87	0	0	0	11	62	0	1	0	0	1	0	0	0	0	14
AC008937.3	ENSG00000225230	ENST00000453721	antisense	0	0	0	4	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0
AC009095.4	ENSG00000237718	ENST00000388909	antisense	0	0	0	24	0	0	0	8	2	0	1	0	0	0	0	0	0	0	13
AC016697.2	ENSG00000228380	ENST00000429485	processed_pseudogene	0	0	0	7	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0
AC016697.3	ENSG00000263524	ENST00000582859	miRNA	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7
AC019080.1	ENSG00000237178	ENST00000453859	processed_pseudogene	0	0	0	38	0	0	0	22	0	0	2	0	0	0	0	0	0	0	14
AC074286.1	ENSG00000213963	ENST00000397057	sense_overlapping	1	0	0	360	0	0	0	18	323	0	20	0	1	0	0	0	0	0	0
AC079305.10	ENSG00000222043	ENST00000428541	antisense	0	0	0	56	0	0	0	19	8	0	5	0	0	0	0	0	0	0	24
AC087239.1	ENSG00000268076	ENST00000594112	protein_coding	0	0	0	91	0	0	0	15	53	0	0	0	0	0	0	0	0	0	23
AC099537.1	ENSG00000221337	ENST00000408410	miRNA	0	0	0	3	0	0	0	2	0	0	0	0	0	0	0	0	0	0	1
AC132068.1	ENSG00000221799	ENST00000408872	miRNA	0	0	0	39	0	0	0	23	0	0	0	0	0	0	0	0	0	0	16
ACAA1	ENSG00000060971	ENST00000333167	protein_coding	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7
AK4P1	ENSG00000263535	ENST00000581275	processed_pseudogene	0	0	0	41	0	0	0	15	0	0	7	0	0	0	0	0	0	0	19
AKT1	ENSG00000142208	ENST00000349310	protein_coding	0	1	3	84	4	0	1	0	79	3	0	0	0	0	0	0	0	1	0
AL157902.3	ENSG00000236866	ENST00000425010	antisense	0	0	0	20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	20
AL353733.1	ENSG00000221708	ENST00000408781	miRNA	0	0	0	78	0	0	0	32	0	0	0	0	0	0	0	0	0	0	46
AL390071.1	ENSG00000221519	ENST00000408592	miRNA	0	0	0	48	0	0	0	20	0	0	0	0	0	0	0	0	0	0	28
ALS2CR12	ENSG00000155749	ENST00000286190	protein_coding	0	0	0	11	0	0	0	11	0	0	0	0	0	0	0	0	0	0	0
AMER1	ENSG00000184675	ENST00000330258	protein_coding	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
ANGPTL7	ENSG00000171819	ENST00000376819	protein_coding	0	0	3	34	2	0	1	13	8	3	0	0	0	0	0	0	0	0	10
AP001925.1	ENSG00000269042	ENST00000596081	protein_coding	0	0	0	15	0	0	0	15	0	0	0	0	0	0	0	0	0	0	0
